unit_id,mean_degree,clustering_coef,weighted_clustering_coef,fraction_long_edges,weighted_fraction_long_edges,country,unit
"""31133""",34.8842396520192,0.0442802577892724,0.0828142713766698,0.220179251886673,0.385816913928914,US,county
"""48075""",45.1621019208264,0.0529084960309527,0.0898269616020908,0.167507584276189,0.34119132124366,US,county
"""47123""",39.7655488856373,0.0403153028020573,0.0762443280333539,0.216580003490731,0.376271263460022,US,county
"""51610""",18.7400234464781,0.0350442397819716,0.0710455420237417,0.399915405473013,0.594399200399876,US,county
"""22061""",49.5550597878873,0.0519809069989169,0.0848849610461659,0.169639896008469,0.367752015210658,US,county
"""36021""",34.893242263206,0.0389557203764348,0.074153335017226,0.242772789042578,0.416154990751207,US,county
"""26031""",33.3938790754363,0.0381233359085623,0.075215544232748,0.249804887526098,0.395855859837418,US,county
"""37195""",50.3227763674649,0.0416774848338797,0.0764026205337089,0.175224067336768,0.355667839924209,US,county
"""32015""",32.6626152083954,0.0440053711985337,0.085747741857361,0.237462987235554,0.391594127597251,US,county
"""37121""",38.0230889932387,0.0407277373661833,0.0733248611869038,0.214965319712129,0.395091274771029,US,county
"""20007""",39.1506563431661,0.0565801558282306,0.0924675278714106,0.192204903082068,0.369287869104295,US,county
"""28039""",44.8895110292161,0.0424348547593374,0.080009143715255,0.184353032536231,0.344637792338757,US,county
"""36017""",36.3982294705528,0.0359661292534892,0.0760771654371511,0.225060552952173,0.371387295850669,US,county
"""24031""",22.2288512672101,0.0335882473007784,0.0688109631672183,0.358792731831763,0.56740039869913,US,county
"""21119""",54.3002243567672,0.0552189528746793,0.0954800196043814,0.114920650089006,0.296806131506385,US,county
"""13267""",43.4428423473379,0.0491494493283202,0.0894125208830748,0.176407222617756,0.364940384195774,US,county
"""40149""",40.4487725036367,0.042535055630533,0.0819360155456042,0.201428855174598,0.363184819672916,US,county
"""30001""",27.3384487162758,0.0320392405275943,0.0647047594702043,0.318244241585186,0.475634673021395,US,county
"""35037""",40.8270398061193,0.0540734449785581,0.0919463267549038,0.179836496130695,0.376959105558937,US,county
"""08089""",34.7288078732096,0.0416115422102176,0.0808950692114289,0.219353734722751,0.39492774055541,US,county
"""47147""",41.1030498450457,0.040710256694102,0.0728535482686868,0.234426735045318,0.384704409612546,US,county
"""37133""",36.20988611397,0.0325041809078007,0.0666816709683828,0.289816393884155,0.425583896386391,US,county
